New_York_City	854	227	8491079
Los_Angeles	166	349	3928864
Chicago	642	206	2722389
Houston	522	427	2239558
Philadelphia	836	239	1560297
Phoenix	264	357	1537058
San_Antonio	474	432	1436697
San_Diego	185	371	1381069
Dallas	501	371	1281047
San_Jose	113	289	1015785
Austin	486	417	912791
Indianapolis	665	244	858325
Jacksonville	735	416	853382
San_Francisco	103	281	852469
Columbus	714	240	835957
Fort_Worth	492	372	812238
Charlotte	748	327	809958
Detroit	713	196	680250
El_Paso	351	389	679036
Nashville	656	310	668347
Seattle	105	100	668342
Denver	375	244	663862
Washington	807	260	658893
Memphis	606	329	656861
Boston	900	197	655884
Baltimore	813	252	622793
Oklahoma_City	489	322	620602
Portland	100	138	619360
Las_Vegas	214	309	613599
Milwaukee	637	183	599642
Louisville	672	272	597337
Albuquerque	348	329	557169
Tucson	282	383	527972
Fresno	144	298	515986
Sacramento	118	266	485199
Long_Beach	170	353	473577
Kansas_City	535	256	470800
Mesa	269	360	464704
Atlanta	692	354	456002
Virginia_Beach	822	298	450980
Omaha	512	216	446599
Colorado_Springs	377	260	445830
Raleigh	782	316	439896
Miami	757	500	430332
Oakland	107	280	413775
Minneapolis	555	149	407207
Tulsa	514	310	399682
Cleveland	735	212	389521
Wichita	492	282	388413
New_Orleans	605	423	384320
